GHLFSAM,GRGC,GVARSTR,RFPOV,RHCALMN,RHCALYR,SROTATON,SSUSEQ,TFTOTINC,WHFNWGT,SSUID
1,28,43,978,12,2011,3,24139,2,8780.4424,644925879999
1,28,43,982,1,2012,3,24139,2,8946.0215,644925879999
1,28,43,987,2,2012,3,24139,2,8972.5332,644925879999
2,24,43,980,11,2011,3,24111,3596,5090.8491,644925743668
2,24,43,978,12,2011,3,24111,3596,5075.6724,644925743668
2,24,43,982,1,2012,3,24111,3596,5256.7251,644925743668
2,24,43,987,2,2012,3,24111,3596,5318.1592,644925743668
2,16,28,1262,11,2011,3,24112,6333,3725.1270,644925743960
2,16,28,1259,12,2011,3,24112,6333,3709.9753,644925743960
2,16,28,1264,1,2012,3,24112,6333,3460.0686,644925743960
2,16,28,1270,2,2012,3,24112,6333,3451.2273,644925743960
2,16,28,1262,11,2011,3,24112,6333,3725.1270,644925743960
2,16,28,1259,12,2011,3,24112,6333,3709.9753,644925743960
2,16,28,1264,1,2012,3,24112,6333,3460.0686,644925743960
2,16,28,1270,2,2012,3,24112,6333,3451.2273,644925743960
1,12,28,1262,11,2011,3,24110,2508,6684.6279,644925743125
1,12,28,1259,12,2011,3,24110,2508,6664.2798,644925743125
1,12,28,1264,1,2012,3,24110,2508,6712.4023,644925743125
1,12,28,1270,2,2012,3,24110,1508,6770.9712,644925743125
1,12,28,1262,11,2011,3,24110,2508,6684.6279,644925743125
1,12,28,1259,12,2011,3,24110,2508,6664.2798,644925743125
1,12,28,1264,1,2012,3,24110,2508,6712.4023,644925743125
1,12,28,1270,2,2012,3,24110,1508,6770.9712,644925743125
2,101,28,980,11,2011,3,24041,4087,5135.3989,644925651108
2,101,28,978,12,2011,3,24041,4087,5172.3862,644925651108
2,101,28,982,1,2012,3,24041,4087,5345.7378,644925651108
2,101,28,987,2,2012,3,24041,4087,5357.2852,644925651108
2,93,28,1262,11,2011,3,24042,2255,6919.8496,644925651125
2,93,28,1259,12,2011,3,24042,2255,6782.0127,644925651125
2,93,28,1264,1,2012,3,24042,2255,6663.8281,644925651125
2,93,28,1270,2,2012,3,24042,2255,6624.7930,644925651125
2,93,28,1262,11,2011,3,24042,2255,6919.8496,644925651125
2,93,28,1259,12,2011,3,24042,2255,6782.0127,644925651125
2,93,28,1264,1,2012,3,24042,2255,6663.8281,644925651125
2,93,28,1270,2,2012,3,24042,2255,6624.7930,644925651125
1,77,17,1259,12,2011,4,17200,4419,4511.8462,495925229179
1,77,17,1264,1,2012,4,17200,4419,4716.8013,495925229179
1,77,17,1270,2,2012,4,17200,4419,4717.4946,495925229179
1,77,17,1279,3,2012,4,17200,4419,4527.0903,495925229179
1,77,17,1259,12,2011,4,17200,4419,4511.8462,495925229179
1,77,17,1264,1,2012,4,17200,4419,4716.8013,495925229179
1,77,17,1270,2,2012,4,17200,4419,4717.4946,495925229179
1,77,17,1279,3,2012,4,17200,4419,4527.0903,495925229179
1,69,17,1514,12,2011,4,17201,0,6998.8340,495925229366
1,69,17,1521,1,2012,4,17201,0,7694.9268,495925229366
1,69,17,1528,2,2012,4,17201,0,7964.8091,495925229366
1,69,17,1539,3,2012,4,17201,0,8183.7954,495925229366
1,69,17,1514,12,2011,4,17201,0,6998.8340,495925229366
1,69,17,1521,1,2012,4,17201,0,7694.9268,495925229366
1,69,17,1528,2,2012,4,17201,0,7964.8091,495925229366
1,69,17,1539,3,2012,4,17201,0,8183.7954,495925229366
1,69,17,1514,12,2011,4,17201,0,6998.8340,495925229366
1,69,17,1521,1,2012,4,17201,0,7694.9268,495925229366
1,69,17,1528,2,2012,4,17201,0,7964.8091,495925229366
1,69,17,1539,3,2012,4,17201,0,8183.7954,495925229366
2,49,43,901,12,2011,4,17310,3358,4298.3042,495925422366
2,49,43,905,1,2012,4,17310,3358,4303.6118,495925422366
2,49,43,909,2,2012,4,17310,3358,4320.4019,495925422366
2,49,43,916,3,2012,4,17310,3358,4165.0063,495925422366
1,48,43,978,12,2011,4,17311,2592,4354.9009,495925422999
1,48,43,982,1,2012,4,17311,2583,4239.7031,495925422999
1,48,43,987,2,2012,4,17311,2583,4389.4346,495925422999
1,48,43,994,3,2012,4,17311,2583,4223.0190,495925422999
2,41,43,1136,12,2011,4,17523,795,2701.6189,495925879285
2,41,43,1141,1,2012,4,17523,795,2697.9346,495925879285
2,41,43,1146,2,2012,4,17523,795,2701.5093,495925879285
2,41,43,1155,3,2012,4,17523,795,2683.1553,495925879285
2,41,43,1136,12,2011,4,17523,795,2701.6189,495925879285
2,41,43,1141,1,2012,4,17523,795,2697.9346,495925879285
2,41,43,1146,2,2012,4,17523,795,2701.5093,495925879285
2,41,43,1155,3,2012,4,17523,795,2683.1553,495925879285
1,21,43,901,12,2011,4,17490,1007,3698.9712,495925743285
1,21,43,905,1,2012,4,17490,1007,3682.0527,495925743285
1,21,43,909,2,2012,4,17490,1007,3722.5149,495925743285
1,21,43,916,3,2012,4,17490,1007,3675.0535,495925743285
1,13,28,1259,12,2011,4,17492,6603,4204.7588,495925743470
1,13,28,1264,1,2012,4,17492,6603,4397.4453,495925743470
1,13,28,1270,2,2012,4,17492,6603,4345.1245,495925743470
1,13,28,1279,3,2012,4,17492,6603,4172.3276,495925743470
1,13,28,1259,12,2011,4,17492,6603,4204.7588,495925743470
1,13,28,1264,1,2012,4,17492,6603,4397.4453,495925743470
1,13,28,1270,2,2012,4,17492,6603,4345.1245,495925743470
1,13,28,1279,3,2012,4,17492,6603,4172.3276,495925743470
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
2,9,28,3001,12,2011,4,17491,4550,7137.5674,495925743366
2,9,28,3014,1,2012,4,17491,4550,7353.4609,495925743366
2,9,28,3027,2,2012,4,17491,4550,7259.9097,495925743366
2,9,28,3050,3,2012,4,17491,4550,7391.6431,495925743366
1,5,28,1136,12,2011,4,17493,4360,3741.6953,495925743899
